east,north,m1Tmax,m2Tmax,m3Tmax,m4Tmax,m5Tmax,m6Tmax,m7Tmax,m8Tmax,m9Tmax,m10Tmax,m11Tmax,m12Tmax,ANN,DJF,MAM,JJA,SON,Test01
25000,61000,10.1,10,11.2,12.4,14.4,15.8,17.1,17.6,17,14.7,12.2,10.8,13.5,10.3,12.7,16.8,14.6,0
25000,96000,8.6,8.6,10,11.4,13.4,14.8,16,16.5,15.8,13.3,10.8,9.4,12.4,8.9,11.6,15.8,13.3,1.52588E-05
26000,96000,9.3,9.3,10.7,12,14.1,15.5,16.7,17.2,16.5,14,11.5,10,13,9.5,12.3,16.5,14,3.05176E-05
27000,97000,8.5,8.4,9.8,11.2,13.3,14.7,15.9,16.4,15.7,13.1,10.7,9.2,12.2,8.7,11.4,15.7,13.2,4.57764E-05
27000,100000,9.9,9.9,11.2,12.7,14.8,16.1,17.3,17.8,17,14.5,12.1,10.5,13.7,10.1,12.9,17.1,14.5,6.10352E-05
31000,101000,9.7,9.7,11,12.6,14.7,16.2,17.4,17.8,16.9,14.3,11.8,10.3,13.5,9.9,12.8,17.1,14.3,7.62939E-05
32000,97000,8.9,8.9,10.2,11.7,13.9,15.3,16.6,17,16.1,13.6,11,9.5,12.7,9.1,11.9,16.3,13.6,9.15527E-05
32000,98000,9.2,9.2,10.5,11.9,14.1,15.6,16.8,17.3,16.3,13.8,11.3,9.8,13,9.4,12.2,16.6,13.8,0.000106812
32000,99000,8.5,8.5,9.8,11.3,13.4,14.9,16.1,16.6,15.6,13.1,10.6,9.1,12.3,8.7,11.5,15.9,13.1,0.00012207
32000,100000,9.5,9.5,10.8,12.4,14.6,16,17.2,17.7,16.7,14.1,11.6,10.1,13.3,9.7,12.6,17,14.1,0.000137329
32000,101000,9.6,9.7,11,12.5,14.7,16.1,17.4,17.8,16.8,14.2,11.7,10.3,13.6,9.9,12.7,17.1,14.2,0.000152588
32000,102000,9,9.1,10.4,11.9,14.1,15.5,16.8,17.3,16.2,13.7,11.2,9.7,13,9.3,12.1,16.5,13.7,0.000167847
32000,103000,9.7,9.7,11,12.5,14.8,16.2,17.5,17.9,16.8,14.3,11.8,10.3,13.6,9.9,12.8,17.2,14.3,0.000183105
32000,104000,9.8,9.8,11.1,12.7,14.9,16.4,17.6,18,16.9,14.4,11.9,10.4,13.7,10,12.9,17.3,14.4,0.000198364
32000,106000,9.4,9.5,10.7,12.4,14.5,16,17.2,17.7,16.7,14,11.5,10.1,13.4,9.7,12.5,17,14.1,0.000213623
33000,73000,9,9.1,10.3,11.6,13.8,15.3,16.6,16.9,16.1,13.7,11.2,9.8,12.8,9.3,11.9,16.3,13.7,0.000228882
33000,97000,9.5,9.5,10.8,12.2,14.4,15.9,17.1,17.6,16.6,14.2,11.6,10,13.3,9.7,12.5,16.9,14.1,0.000244141
33000,98000,7.5,7.5,8.8,10.4,12.5,14,15.2,15.7,14.7,12.2,9.7,8.1,11.3,7.7,10.6,15,12.2,0.000259399
33000,99000,6.9,6.9,8.2,9.7,11.9,13.3,14.7,15,14,11.5,9,7.4,10.8,7.1,9.9,14.3,11.5,0.000274658
33000,100000,8.3,8.3,9.6,11.2,13.4,14.9,16.1,16.6,15.5,12.9,10.4,8.9,12.3,8.5,11.4,15.9,12.9,0.000289917
